name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
ANA Holdings Inc,9202,N/A,240752.0,5140844.59,0.4668455037,JP,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Celebi Hava Servisi AS,CLEBI,N/A,93176.0,4999721.03,0.4540299248,TR,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Amadeus IT Group SA,AMS,N/A,145735.0,10531659.38,0.9563910642,ES,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
easyJet PLC,EZJ,N/A,782015.0,5436685.96,0.4937111697,GB,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Airports of Thailand PCL,AOT,N/A,2747799.0,5465282.76,0.4963080751,TH,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Bombardier Inc,BBD/B,097751861,320939.0,24420741.98,2.2176732619,CA,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Copa Holdings SA,CPA,N/A,56968.0,5345877.12,0.4854647234,PA,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Embraer SA,ERJ,29082A107,139771.0,4943700.27,0.4489426207,BR,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Expedia Group Inc,EXPE,30212P303,152445.0,22564908.9,2.0491431082,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
First American Government Obli,FGXXX,31846V336,8129476.82,8129476.82,0.7382463396,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Flughafen Zurich AG,FHZN,N/A,21578.0,5185756.72,0.4709240215,CH,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
